Category,City,Country/Region,Customer ID,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Segments Abbrev,Selected Year,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Profit CY,Profit PY,Quantity,Sales,Sales CY,Sales PY,Year
Technology,Laredo,United States,MS-17830,Melanie Seite,Memorex,1/9/2019,US-2019-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,CON,FALSE,1/13/2019,Standard Class,Texas,Accessories,0.2,$0.01K,,,3,$0.0K,,,2019
Furniture,Springfield,United States,AJ-10780,Anthony Jacobs,Howard Miller,1/10/2019,US-2019-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,COR,FALSE,1/15/2019,Standard Class,Virginia,Furnishings,0,$0.02K,,,1,$0.1K,,,2019
Office Supplies,Springfield,United States,AJ-10780,Anthony Jacobs,Avery,1/10/2019,US-2019-149020,22153,Avery 482,South,Corporate,COR,FALSE,1/15/2019,Standard Class,Virginia,Labels,0,$0.00K,,,1,$0.0K,,,2019
Furniture,Dover,United States,SV-20365,Seth Vernon,DAX,1/11/2019,US-2019-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,CON,FALSE,1/14/2019,First Class,Delaware,Furnishings,0,$0.00K,,,2,$0.0K,,,2019
Furniture,San Francisco,United States,BD-11605,Brian Dahlen,O'Sullivan,1/13/2019,US-2019-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,CON,FALSE,1/18/2019,Standard Class,California,Bookcases,0.15,$0.00K,,,3,$0.3K,,,2019
Furniture,Mount Pleasant,United States,ND-18370,Natalie DeCherney,Global,1/13/2019,US-2019-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,CON,FALSE,1/16/2019,Second Class,South Carolina,Chairs,0,$0.09K,,,6,$0.5K,,,2019
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,Other,1/13/2019,US-2019-157147,94109,4009 Highlighters by Sanford,West,Consumer,CON,FALSE,1/18/2019,Standard Class,California,Art,0,$0.01K,,,5,$0.0K,,,2019
Office Supplies,Newark,United States,MM-17920,Michael Moore,Avery,1/13/2019,US-2019-118192,43055,Avery Metallic Poly Binders,East,Consumer,CON,FALSE,1/18/2019,Standard Class,Ohio,Binders,0.7,$0.00K,,,2,$0.0K,,,2019
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,3-ring staple pack,1/13/2019,US-2019-162775,71111,3-ring staple pack,South,Corporate,COR,FALSE,1/15/2019,Second Class,Louisiana,Binders,0,$0.00K,,,3,$0.0K,,,2019
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,Other,1/13/2019,US-2019-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,COR,FALSE,1/15/2019,Second Class,Louisiana,Envelopes,0,$0.03K,,,3,$0.1K,,,2019
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,Staple envelope,1/13/2019,US-2019-162775,71111,Staple envelope,South,Corporate,COR,FALSE,1/15/2019,Second Class,Louisiana,Envelopes,0,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Newark,United States,MM-17920,Michael Moore,Xerox,1/13/2019,US-2019-118192,43055,Xerox 1923,East,Consumer,CON,FALSE,1/18/2019,Standard Class,Ohio,Paper,0.2,$0.01K,,,7,$0.0K,,,2019
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,Fellowes,1/13/2019,US-2019-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,COR,FALSE,1/15/2019,Second Class,Louisiana,Storage,0,$0.03K,,,6,$0.6K,,,2019
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,Tennsco,1/13/2019,US-2019-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,CON,FALSE,1/18/2019,Standard Class,California,Storage,0,$0.24K,,,5,$1.3K,,,2019
Technology,Bossier City,United States,CS-12250,Chris Selesnick,Plantronics,1/13/2019,US-2019-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,COR,FALSE,1/15/2019,Second Class,Louisiana,Accessories,0,$0.26K,,,6,$0.6K,,,2019
Furniture,Philadelphia,United States,BS-11590,Brendan Sweed,Sauder,1/14/2019,US-2019-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,COR,FALSE,1/15/2019,First Class,Pennsylvania,Bookcases,0.5,-$0.05K,,,4,$0.1K,,,2019
Technology,Roswell,United States,EH-13990,Erica Hackney,Logitech,1/15/2019,US-2019-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,CON,FALSE,1/17/2019,First Class,Georgia,Accessories,0,$0.07K,,,5,$0.1K,,,2019
Furniture,Philadelphia,United States,DL-13315,Delfina Latchford,DAX,1/16/2019,US-2019-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,CON,FALSE,1/18/2019,Second Class,Pennsylvania,Furnishings,0.2,$0.03K,,,6,$0.1K,,,2019
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,GBC,1/16/2019,US-2019-115791,19134,GBC Linen Binding Covers,East,Consumer,CON,FALSE,1/18/2019,Second Class,Pennsylvania,Binders,0.7,-$0.01K,,,2,$0.0K,,,2019
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,Other,1/16/2019,US-2019-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,CON,FALSE,1/18/2019,Second Class,Pennsylvania,Labels,0.2,$0.01K,,,3,$0.0K,,,2019
Technology,Philadelphia,United States,DL-13315,Delfina Latchford,AT&T,1/16/2019,US-2019-115791,19134,AT&T 841000 Phone,East,Consumer,CON,FALSE,1/18/2019,Second Class,Pennsylvania,Phones,0.4,-$0.03K,,,3,$0.1K,,,2019
Office Supplies,Springfield,United States,DW-13195,David Wiener,Fellowes,1/18/2019,US-2019-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,COR,FALSE,1/21/2019,Second Class,Oregon,Appliances,0.2,$0.01K,,,4,$0.1K,,,2019
Furniture,Scottsdale,United States,TS-21340,Toby Swindell,O'Sullivan,1/19/2019,US-2019-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,CON,FALSE,1/20/2019,First Class,Arizona,Bookcases,0.7,-$0.32K,,,5,$0.2K,,,2019
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,GBC,1/19/2019,US-2019-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,CON,FALSE,1/20/2019,First Class,Arizona,Binders,0.7,-$0.02K,,,10,$0.0K,,,2019
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,Tyvek,1/19/2019,US-2019-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,CON,FALSE,1/20/2019,First Class,Arizona,Envelopes,0.2,$0.04K,,,5,$0.1K,,,2019
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,TOPS,1/19/2019,US-2019-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,CON,FALSE,1/20/2019,First Class,Arizona,Paper,0.2,$0.02K,,,4,$0.1K,,,2019
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,Hon,1/20/2019,US-2019-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,CON,FALSE,1/26/2019,Standard Class,Arkansas,Chairs,0,$0.22K,,,3,$1.1K,,,2019
Furniture,Westland,United States,XP-21865,Xylona Preis,Ultra,1/20/2019,US-2019-167927,48185,Ultra Door Push Plate,Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Furnishings,0,$0.00K,,,3,$0.0K,,,2019
Furniture,Westland,United States,XP-21865,Xylona Preis,Eldon,1/20/2019,US-2019-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Furnishings,0,$0.03K,,,3,$0.3K,,,2019
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,Eldon,1/20/2019,US-2019-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,CON,FALSE,1/26/2019,Standard Class,Arkansas,Furnishings,0,$0.01K,,,4,$0.0K,,,2019
Furniture,Los Angeles,United States,MV-17485,Mark Van Huff,Eldon,1/20/2019,US-2019-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,CON,FALSE,1/25/2019,Standard Class,California,Furnishings,0,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Holmes,1/20/2019,US-2019-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Appliances,0.1,$0.09K,,,4,$0.2K,,,2019
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,Newell,1/20/2019,US-2019-147627,72401,Newell 351,South,Consumer,CON,FALSE,1/26/2019,Standard Class,Arkansas,Art,0,$0.01K,,,7,$0.0K,,,2019
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,Newell,1/20/2019,US-2019-147627,72401,Newell 327,South,Consumer,CON,FALSE,1/26/2019,Standard Class,Arkansas,Art,0,$0.00K,,,3,$0.0K,,,2019
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Panasonic,1/20/2019,US-2019-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Art,0,$0.01K,,,3,$0.0K,,,2019
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Acco,1/20/2019,US-2019-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Binders,0,$0.01K,,,5,$0.0K,,,2019
Office Supplies,Smyrna,United States,MM-18280,Muhammed MacIntyre,GBC,1/20/2019,US-2019-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,COR,FALSE,1/26/2019,Standard Class,Tennessee,Binders,0.7,-$0.05K,,,1,$0.1K,,,2019
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Storex,1/20/2019,US-2019-167927,48185,Storex Dura Pro Binders,Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Binders,0,$0.01K,,,5,$0.0K,,,2019
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,Staple envelope,1/20/2019,US-2019-147627,72401,Staple envelope,South,Consumer,CON,FALSE,1/26/2019,Standard Class,Arkansas,Envelopes,0,$0.01K,,,3,$0.0K,,,2019
Office Supplies,Los Angeles,United States,MV-17485,Mark Van Huff,Wirebound,1/20/2019,US-2019-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,CON,FALSE,1/25/2019,Standard Class,California,Paper,0,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Eldon,1/20/2019,US-2019-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Storage,0,$0.00K,,,1,$0.0K,,,2019
Office Supplies,Westland,United States,XP-21865,Xylona Preis,Fellowes,1/20/2019,US-2019-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,CON,FALSE,1/26/2019,Standard Class,Michigan,Storage,0,$0.02K,,,2,$0.1K,,,2019
Technology,Jonesboro,United States,HL-15040,Hunter Lopez,Apple,1/20/2019,US-2019-147627,72401,Apple iPhone 5C,South,Consumer,CON,FALSE,1/26/2019,Standard Class,Arkansas,Phones,0,$0.18K,,,7,$0.7K,,,2019
Furniture,Miami,United States,TB-21400,Tom Boeckenhauer,Ultra,1/21/2019,US-2019-110422,33180,Ultra Door Pull Handle,South,Consumer,CON,FALSE,1/23/2019,Second Class,Florida,Furnishings,0.2,$0.00K,,,3,$0.0K,,,2019
Office Supplies,Lafayette,United States,SG-20605,Speros Goranitis,Alliance,1/23/2019,US-2019-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,CON,FALSE,1/27/2019,Standard Class,Indiana,Fasteners,0,$0.00K,,,3,$0.0K,,,2019
Office Supplies,Las Vegas,United States,IM-15055,Ionia McGrath,Xerox,1/23/2019,US-2019-102645,89115,Xerox 195,West,Consumer,CON,FALSE,1/28/2019,Standard Class,Nevada,Paper,0,$0.02K,,,6,$0.0K,,,2019
Furniture,Rapid City,United States,CA-11965,Carol Adams,SAFCO,1/26/2019,US-2019-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,COR,FALSE,1/29/2019,First Class,South Dakota,Bookcases,0,$0.04K,,,2,$0.1K,,,2019
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,Eldon,1/26/2019,US-2019-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Furnishings,0,$0.00K,,,3,$0.0K,,,2019
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,GE,1/26/2019,US-2019-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Furnishings,0,$0.03K,,,3,$0.1K,,,2019
Office Supplies,Rapid City,United States,CA-11965,Carol Adams,Wilson Jones,1/26/2019,US-2019-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,COR,FALSE,1/29/2019,First Class,South Dakota,Binders,0,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,REDIFORM,1/26/2019,US-2019-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Paper,0,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,Eureka,1/26/2019,US-2019-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Paper,0,$0.01K,,,3,$0.0K,,,2019
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,SAFCO,1/26/2019,US-2019-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Storage,0,$0.00K,,,8,$0.5K,,,2019
Technology,Alexandria,United States,SD-20485,Shirley Daniels,Jabra,1/26/2019,US-2019-155502,22304,Jabra SPEAK 410,South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Phones,0,$0.05K,,,2,$0.2K,,,2019
Technology,Alexandria,United States,SD-20485,Shirley Daniels,Other,1/26/2019,US-2019-155502,22304,Macally Suction Cup Mount,South,Home Office,HO,FALSE,1/31/2019,Standard Class,Virginia,Phones,0,$0.00K,,,13,$0.2K,,,2019
Furniture,San Diego,United States,EJ-13720,Ed Jacobs,Balt,1/27/2019,US-2019-117163,92037,Balt Split Level Computer Training Table,West,Consumer,CON,FALSE,2/2/2019,Standard Class,California,Tables,0.2,-$0.02K,,,3,$0.3K,,,2019
Office Supplies,San Diego,United States,EJ-13720,Ed Jacobs,Dixon,1/27/2019,US-2019-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,CON,FALSE,2/2/2019,Standard Class,California,Art,0,$0.01K,,,4,$0.0K,,,2019
Office Supplies,San Diego,United States,EJ-13720,Ed Jacobs,Other,1/27/2019,US-2019-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,CON,FALSE,2/2/2019,Standard Class,California,Storage,0,$0.01K,,,1,$0.1K,,,2019
Office Supplies,New York City,United States,JC-15340,Jasper Cacioppo,Pressboard,1/28/2019,US-2019-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,CON,FALSE,2/3/2019,Standard Class,New York,Binders,0.2,$0.00K,,,1,$0.0K,,,2019
Office Supplies,Detroit,United States,MV-18190,Mike Vittorini,Xerox,1/30/2019,US-2019-134103,48234,Xerox 1972,Central,Consumer,CON,FALSE,2/4/2019,Standard Class,Michigan,Paper,0,$0.00K,,,2,$0.0K,,,2019
Office Supplies,Detroit,United States,MV-18190,Mike Vittorini,Space Solutions,1/30/2019,US-2019-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,CON,FALSE,2/4/2019,Standard Class,Michigan,Storage,0,$0.01K,,,2,$0.2K,,,2019
Furniture,Mission Viejo,United States,LC-17050,Liz Carlisle,Sauder,1/31/2019,US-2019-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,CON,FALSE,2/2/2019,First Class,California,Bookcases,0.15,$0.00K,,,2,$0.3K,,,2019
Technology,Green Bay,United States,BD-11500,Bradley Drucker,Enermax,2/1/2019,US-2019-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,CON,FALSE,2/3/2019,First Class,Wisconsin,Accessories,0,$0.21K,,,6,$0.5K,,,2019
Office Supplies,Saint Petersburg,United States,EB-13930,Eric Barreto,Other,2/2/2019,US-2019-123400,33710,Surelock Post Binders,South,Consumer,CON,FALSE,2/9/2019,Standard Class,Florida,Binders,0.7,-$0.01K,,,2,$0.0K,,,2019
Office Supplies,San Diego,United States,CD-12790,Cynthia Delaney,Other,2/2/2019,US-2019-139857,92037,Staples,West,Home Office,HO,FALSE,2/6/2019,Standard Class,California,Fasteners,0,$0.01K,,,5,$0.0K,,,2019
Technology,Saint Petersburg,United States,EB-13930,Eric Barreto,AT&T,2/2/2019,US-2019-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,CON,FALSE,2/9/2019,Standard Class,Florida,Phones,0.2,$0.01K,,,5,$0.2K,,,2019
Office Supplies,Seattle,United States,TB-21400,Tom Boeckenhauer,Avery,2/3/2019,US-2019-111059,98105,Avery Durable Poly Binders,West,Consumer,CON,FALSE,2/6/2019,Second Class,Washington,Binders,0.2,$0.00K,,,3,$0.0K,,,2019
Office Supplies,Seattle,United States,TB-21400,Tom Boeckenhauer,Ibico,2/3/2019,US-2019-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,CON,FALSE,2/6/2019,Second Class,Washington,Binders,0.2,$0.03K,,,2,$0.1K,,,2019
Office Supplies,Escondido,United States,MH-17440,Mark Haberlin,GBC,2/4/2019,US-2019-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,COR,FALSE,2/8/2019,Second Class,California,Binders,0.2,$0.01K,,,2,$0.0K,,,2019
Office Supplies,San Diego,United States,DB-13270,Deborah Brumfield,GBC,2/4/2019,US-2019-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,HO,FALSE,2/8/2019,Standard Class,California,Binders,0.2,$0.03K,,,3,$0.1K,,,2019
Office Supplies,San Diego,United States,DB-13270,Deborah Brumfield,Message Book,2/4/2019,US-2019-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,HO,FALSE,2/8/2019,Standard Class,California,Paper,0,$0.02K,,,4,$0.0K,,,2019
Office Supplies,Romeoville,United States,DL-13315,Delfina Latchford,Avery,2/6/2019,US-2019-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,CON,FALSE,2/10/2019,Second Class,Illinois,Binders,0.8,-$0.01K,,,2,$0.0K,,,2019
Office Supplies,Chesapeake,United States,ND-18460,Neil Ducich,Avery,2/6/2019,US-2019-131905,23320,Avery 480,South,Corporate,COR,FALSE,2/9/2019,First Class,Virginia,Labels,0,$0.01K,,,4,$0.0K,,,2019
Technology,Chesapeake,United States,ND-18460,Neil Ducich,AT&T,2/6/2019,US-2019-131905,23320,AT&T CL82213,South,Corporate,COR,FALSE,2/9/2019,First Class,Virginia,Phones,0,$0.04K,,,5,$0.1K,,,2019
Technology,Chesapeake,United States,ND-18460,Neil Ducich,Other,2/6/2019,US-2019-131905,23320,Aastra 57i VoIP phone,South,Corporate,COR,FALSE,2/9/2019,First Class,Virginia,Phones,0,$0.04K,,,1,$0.2K,,,2019
Office Supplies,New York City,United States,CS-12250,Chris Selesnick,Acco,2/7/2019,US-2019-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,COR,FALSE,2/10/2019,Second Class,New York,Storage,0,$0.01K,,,4,$0.1K,,,2019
Technology,Linden,United States,CK-12760,Cyma Kinney,Maxell,2/7/2019,US-2019-107755,7036,Maxell DVD-RAM Discs,East,Corporate,COR,FALSE,2/12/2019,Standard Class,New Jersey,Accessories,0,$0.05K,,,7,$0.1K,,,2019
Furniture,North Las Vegas,United States,NM-18445,Nathan Mautz,Master Caster,2/8/2019,US-2019-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,HO,FALSE,2/9/2019,First Class,Nevada,Furnishings,0,$0.01K,,,2,$0.0K,,,2019
Furniture,Columbia,United States,GA-14725,Guy Armstrong,Global,2/11/2019,US-2019-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,CON,FALSE,2/15/2019,Second Class,Missouri,Chairs,0,$0.02K,,,1,$0.1K,,,2019
Furniture,Columbia,United States,GA-14725,Guy Armstrong,Other,2/11/2019,US-2019-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,CON,FALSE,2/15/2019,Second Class,Missouri,Furnishings,0,$0.05K,,,3,$0.3K,,,2019
Furniture,Chesapeake,United States,NF-18385,Natalie Fritzler,Hon,2/11/2019,US-2019-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,CON,FALSE,2/15/2019,Standard Class,Virginia,Tables,0,$0.08K,,,6,$1.3K,,,2019
Office Supplies,Chesapeake,United States,NF-18385,Natalie Fritzler,Wilson Jones,2/11/2019,US-2019-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,CON,FALSE,2/15/2019,Standard Class,Virginia,Binders,0,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Columbia,United States,GA-14725,Guy Armstrong,Other,2/11/2019,US-2019-168368,65203,VariCap6 Expandable Binder,Central,Consumer,CON,FALSE,2/15/2019,Second Class,Missouri,Binders,0,$0.02K,,,3,$0.1K,,,2019
Office Supplies,Columbia,United States,GA-14725,Guy Armstrong,Wilson Jones,2/11/2019,US-2019-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,CON,FALSE,2/15/2019,Second Class,Missouri,Binders,0,$0.00K,,,2,$0.0K,,,2019
